Cell name	numeric_P(Erythroid)	numeric_P(Granulocyte)	numeric_P(Lymphoid)	numeric_P(Dendritic cell)	numeric_P(Megakaryocyte)	numeric_P(Monocyte)	numeric_P(Basophil/Mast cell)	numeric_Total counts	numeric_Uniform	Louvain cluster	Library	Prep Batch	numeric_x	numeric_y
cell_3738	0.00041264	0.0049047	0.0007934999999999999	0.075821	0.00012111	0.9177700000000001	0.00017716	5951.0	0.0	2	4	4	626.76436	-152.42713999999998
cell_3784	0.00038779	0.0060426	0.0011079	0.02159	9.5432e-05	0.9706299999999999	0.00014897	5351.0	0.0	2	4	4	601.70929	-166.22945
cell_3800	0.00095171	0.0095081	0.001431	0.026491000000000004	0.00029345	0.96095	0.00037577	5275.0	0.0	2	4	4	618.85369	-156.96983
cell_3833	0.0012847000000000002	0.002845	0.00035441	0.073558	7.6942e-05	0.9217799999999999	9.6875e-05	4994.0	0.0	2	4	4	607.4629	-158.79648999999998
cell_3847	0.00091416	0.010348999999999999	0.0011033	0.025897000000000003	0.00019989	0.96126	0.00028136	4364.0	0.0	2	4	4	597.75003	-164.46876
cell_3871	0.00040062	0.0056963000000000005	0.00086438	0.04489	0.0001239	0.94784	0.00018335	4346.0	0.0	2	4	4	606.39007	-157.42156
cell_3929	0.0	1.0	1.5243e-15	2.7680999999999998e-15	9.0064e-18	8.334199999999999e-16	2.8643e-16	4738.0	0.0	3	4	4	569.204	-876.6026099999999
cell_3951	7.5323e-06	1.3420999999999999e-05	0.9994	0.0005691	1.2354e-06	8.3993e-06	1.3519e-06	3540.0	0.0	10	4	4	420.94257000000005	-3.70316
cell_3952	1.0447e-05	2.4598e-05	0.9993799999999999	0.00056739	2.2668e-06	1.4289000000000002e-05	2.4832e-06	3113.0	0.0	10	4	4	419.8068	-9.84167
cell_4026	1.146e-05	1.6431e-05	0.99928	0.00066402	1.9382e-06	2.2135e-05	1.9893e-06	2895.0	0.0	10	4	4	419.8789	-8.742560000000001
cell_4038	1.0	4.0213e-15	5.4504e-16	1.2029e-16	8.687000000000001e-17	4.519399999999999e-15	1.3363e-17	2190.0	0.0	8	4	4	82.61738000000001	-880.4310800000001
cell_4041	0.00020563	0.002602	0.0003168	0.008948600000000001	4.631e-05	0.9878100000000001	6.8098e-05	3921.0	0.0	2	4	4	605.43029	-163.57053
cell_4042	0.00061428	0.012159999999999999	0.002624	0.018986000000000003	0.00020038	0.9651	0.00031708	3645.0	0.0	2	4	4	585.2750599999999	-168.36196
cell_4107	0.0010245	0.0064601	0.00084505	0.048642000000000005	0.00018963	0.94257	0.0002731	3014.0	0.0	2	4	4	610.01978	-156.40705
cell_4138	1.0	3.062e-15	2.5186e-15	4.5093e-15	1.9053e-15	2.0726999999999995e-15	2.2896e-15	2084.0	0.0	8	4	4	76.53990999999999	-872.03669
cell_4158	2.0491e-06	3.2821e-06	0.99971	0.00028220000000000003	3.4033000000000003e-07	2.4394e-06	3.806e-07	2691.0	0.0	10	4	4	425.30624000000006	7.1531199999999995
cell_4160	5.131100000000001e-07	6.458e-07	0.9998600000000001	0.00014241	7.218e-08	4.5366000000000005e-07	8.131500000000001e-08	2219.0	0.0	10	4	4	426.13862	14.47134
cell_4162	5.4926e-12	1.9515000000000002e-10	1.7802000000000001e-09	1.0	4.2851e-12	2.6775e-10	2.9639e-12	2919.0	0.0	11	4	4	484.64178	-96.40495
cell_4165	1.0	7.045e-16	1.8406e-16	3.2558e-17	2.7705000000000002e-17	1.6706e-15	0.0	1879.0	0.0	8	4	4	84.56300999999999	-882.98777
cell_4173	1.0	8.2202e-15	6.686499999999999e-16	3.4343e-16	2.2385000000000003e-16	5.6391000000000005e-15	9.9759e-17	1932.0	0.0	8	4	4	77.31796999999999	-878.75424
cell_4213	1.0	4.1442e-15	2.8614e-16	1.2546e-16	5.9306e-16	3.6958e-15	1.9033e-17	1692.0	0.0	8	4	4	68.02924	-865.8358300000001
cell_4240	3.6308999999999995e-07	4.4995e-07	0.99995	5.3698e-05	4.9005999999999996e-08	3.1674e-07	5.4003e-08	2496.0	0.0	10	4	4	426.2202	17.74775
cell_4242	8.3341e-06	2.0065e-05	0.99949	0.00047144	1.4391e-06	1.0159e-05	1.5887000000000001e-06	2157.0	0.0	10	4	4	421.70325999999994	-7.03747
cell_4250	1.0	2.0093e-15	4.1785e-16	2.7736e-15	7.1317e-16	2.4065999999999997e-15	1.6564e-15	1625.0	0.0	8	4	4	84.397	-880.2560599999999
cell_4255	1.0	3.9902e-16	3.2184e-17	7.6625e-17	9.557899999999999e-17	5.808900000000001e-16	7.106600000000001e-17	1489.0	0.0	8	4	4	77.12683	-875.95706
